"","Agoki,George - CE-2312-1: STATICS/DYNAMICS NON-CE MAJORS",,48,,17,,Instru3c5to%r,,prepa4r.e5d9,,"or4.59",,4.41,,4.35,,4,
"",Instructor and Course,,,,,,,,,,,,,,,,,
"","Agoki,George - CE-2331-1: ENGR MEASUREMENT/COMPMODELING",,59,,24,,41%,,3.46,,3.71,,3.54,,3.71,,3.46,
"","Agoki,George - CE-2331-11: ENGR MEASUREMENT/COMPMODELING",,20,,10,,50%,,3.3,,3.3,,3.2,,3.7,,3.1,
"","Agoki,George - CE-2331-12: ENGR MEASUREMENT/COMPMODELING",,19,,5,,26%,,3.4,,4.2,,3.6,,4.2,,3.6,
"","Agoki,George - CE-2331-13: ENGR MEASUREMENT/COMPMODELING",,20,,6,,30%,,3.5,,3.5,,3.5,,3.67,,3.83,
"","Agonafer,Dereje - MAE-3311-1: THERMODYNAMICS II",,48,,24,,50%,,4.25,,4.08,,4.21,,4.42,,3.92,
"","Agonafer,Dereje - MAE-4305-1: FUND OF ELECTRONICPACKAGING",,26,,8,,31%,,3.63,,3.75,,3.75,,3.5,,4.13,
"","Agonafer,Dereje - ME-5352-1: FDMTLS ELECTRONIC PACKAGING",,39,,21,,nrollm5e4n%t,,Coun4t .14,,4.14,,4.14,,4.14,,4.1,
"","Agonafer,Dereje - ME-5352-900: FDMTLS ELECTRONICPACKAGING",,1,,1,,100%,,5,,5,,5,,5,,5,
"","Aguirre,Luis - ARCH-2551-2: BASIC DESIGN AND DRAWING I",,15,,11,,73%,,4.36,,4.55,,4.64,,4.73,,4.73,
"","Aguirre,Tiffany - PSYC-3443-2: RESEARCH DESIGN & STATS II",,10,,1,,10%,,5,,5,,5,,5,,5,
"","Aguirre,Tiffany - PSYC-3443-4: RESEARCH DESIGN & STATS II",,19,,4,,21%,,4.75,,4.75,,4.5,,4.25,,4.5,
"","Aguirre,Tiffany - PSYC-3443-5: RESEARCH DESIGN & STATS II",,26,,7,,27%,,0,,0,,0,,0,,0,
"","Aguirre,Tiffany - PSYC-3443-901: RESEARCH DESIGN & STATS II",,1,,1,,Instr1u0c0to%r,,"clearly3",,4,,4,,3,,4,
"","Ahmad,Ishfaq - CSE-4351-1: PARALLEL PROCESSING",,7,,4,,efined5/7e%x,,lained3 .5,,3.5,,3.5,,4.25,,4.25,
"","Ahmad,Ishfaq - CSE-5351-1: PARALLEL PROCESSING",,10,,6,,bjecti6v0e%s,,xpectat3i,,"ns3.33",,3.33,,3,,3.33,
"","Ahmari,Habib - CE-3342-1: WATER RESOURCES ENGINEERING",,28,,15,,54%,,4.47,,4.67,,4.47,,4.47,,4.47,
"",Instructor and Course,,,,,,,,,,,,,,,,,
"","Ahmari,Habib - CE-3342-101: WATER RESOURCES ENGINEERING",,17,,6,,35%,,4.67,,4.67,,4.83,,4.5,,5,
"","Ahmari,Habib - CE-4358-1: OPEN CONDUIT SYSTEM",,6,,2,,33%,,5,,5,,5,,5,,5,
"","Ahmari,Habib - CE-4358-101: OPEN CONDUIT SYSTEM",,4,,3,,75%,,2.67,,5,,2.33,,3.67,,4.67,
"","Ahmari,Habib - CE-5346-1: OPEN CHANNEL FLOW",,6,,4,,67%,,4.75,,4.75,,4.75,,5,,4.75,
"","Ahmari,Habib - CE-5346-101: OPEN CHANNEL FLOW",,3,,2,,67%,,4.5,,4.5,,4.5,,4.5,,4,
"","Ahmed,Feroz - BIOL-2444-10: GENERAL MICROBIOLOGY",,23,,8,,35%,,4.38,,4.63,,4.5,,4.13,,4.25,
"","Ahmed,Feroz - BIOL-2444-6: GENERAL MICROBIOLOGY",,24,,8,,33%,,3.75,,3.88,,3.88,,4,,4,
"","Ahmed,Saber - MATH-2326-7: CALCULUS III",,63,,28,,44%,,4.43,,4.46,,4.37,,4.32,,4.54,
"","Aiken,LaDonna - BCMN-2358-2: TELEVISION PRODUCTION I",,10,,2,,20%,,5,,5,,5,,5,,5,
"","Aiken,LaDonna - BCMN-2360-1: INTRO BRDCST",,32,,16,,50%,,4.75,,4.75,,4.75,,4.69,,4.63,
"","Aiken,LaDonna - BCMN-2370-1: MULTIMEDIA PRODUCTION",,11,,6,,55%,,5,,5,,5,,4.83,,5,
"","Aiken,LaDonna - BCMN-4322-1: CORPORATE VIDEOPRODUCTION",,19,,12,,"nrollment63%",,"Count4.58",,4.58,,4.75,,4.67,,4.67,
"","Ajani,Tatheer - MATH-1426-401: CALCULUS I",,9,,1,,11%,,5,,5,,5,,5,,5,
"","Ajani,Tatheer - MATH-1426-401: CALCULUS I",,25,,12,,48%,,4.58,,4.42,,4.58,,4.33,,4.42,
"","Ajani,Tatheer - MATH-1426-402: CALCULUS I",,4,,1,,25%,,3,,4,,4,,3,,4,
"","Ajani,Tatheer - MATH-1426-402: CALCULUS I",,30,,20,,67%,,4.84,,4.84,,4.74,,4.47,,4.74,
"","Akafzade,Hussein - PHYS-1443-2: GENERAL TECHNICAL PHYSICS I",,113,,97,,86%,,3.98,,4.04,,3.81,,3.79,,4.24,
"","Akafzade,Hussein - PHYS-3445-1: OPTICS",,18,,16,,Instru8c9to%r,,clearl4y. 19,,3.88,,3.94,,3.94,,4.38,
"","Akers,Donna - ANTH-3390-3: SPECIAL TOPICS INANTHROPOLOGY",,2,,2,,"efined/exbjec1ti0v0e%s",,"lainedxpecta4t.5i",,"ns4.5",,4.5,,4.5,,3.5,
"","Akers,Donna - WOMS-2310-1: INTRO WOMENS & GENDERSTUDIES",,2,,1,,Instru5c0to%r,,prepared2,,"or3",,2,,1,,2,
"",Instructor and Course,,,,,,,,,,,,,,,,,
"","Akers,Donna - WOMS-2310-1: INTRO WOMENS & GENDERSTUDIES",,19,,6,,32%,,3.33,,3.33,,3.17,,3.83,,3.33,
"","Akers,Donna - WOMS-4305-1: TRANSNATIONAL FEMINISMS",,5,,1,,20%,,5,,5,,5,,5,,5,
"","Aktosun,Tuncay - MATH-5327-1: FUNCTIONAL ANALYSIS I",,14,,10,,71%,,4.5,,4.4,,4.7,,4.8,,4.8,
"","Aktosun,Tuncay - MATH-5327-900: FUNCTIONAL ANALYSIS I",,1,,1,,100%,,5,,5,,5,,5,,5,
"","Al Khazalah,REYED - CHEM-2181-10: ORGANIC CHEMISTRY I LAB",,15,,13,,87%,,4.23,,4.31,,3.77,,4.38,,3.77,
"","Al Khazalah,REYED - CHEM-2181-7: ORGANIC CHEMISTRY I LAB",,17,,8,,47%,,0,,0,,0,,0,,0,
"","Al Khazalah,REYED - CHEM-2181-8: ORGANIC CHEMISTRY I LAB",,15,,12,,80%,,4.36,,4.55,,4.18,,4.18,,4.36,
"","Alameddin,Najia - FREN-1441-3: BEGINNING FRENCH I",,18,,8,,44%,,4.13,,4.5,,3.63,,4.5,,4.25,
"","Alameddin,Najia - FREN-1441-4: BEGINNING FRENCH I",,15,,10,,nrollm6e7n%t,,Count 4.3,,4.3,,3.8,,4.7,,4.8,
"","Alameddin,Najia - FREN-2313-1: INTERMEDIATE FRENCH I",,15,,11,,73%,,4.64,,4.91,,4.73,,4.82,,4.82,
"","Alameddin,Najia - FREN-3304-1: READINGS AND WRITING INFRENCH",,6,,6,,"esponde100%",,"Count4.17",,4.67,,3.83,,4.5,,4.67,
"","Alameddin,Najia - FREN-3309-1: FRENCH FILM",,6,,5,,83%,,4.6,,4.6,,4.4,,4.8,,4.8,
"","Alamoudi,Sumaia - INTD-3343-1: INTR DESIGNCOMMUNICATION III",,16,,12,,espon7s5e%,,"ate4.58",,4.42,,4.33,,4.5,,4.5,
"","Al-assad,Samer - CHEM-1442-108: GENERAL CHEMISTRY II",,18,,4,,22%,,4.25,,4.5,,4.25,,4.75,,5,
"","Alatrash,Nagham - CHEM-1441-1: GENERAL CHEMISTRY I",,16,,2,,Instru1c3to%r,,"clearly4",,4,,3,,3,,3.5,
"","Alatrash,Nagham - CHEM-1441-1: GENERAL CHEMISTRY I",,140,,73,,efined5/2e%x,,laine4d. 53,,4.55,,4.47,,4.48,,4.55,
"","Alavi,Kambiz - AE-5378-1: INTRO TO UNMANNED VEHICLE SYS",,12,,6,,"bjectives50%",,"xpectati0",,"ns0",,0,,0,,0,
"",Instructor and Course,,,,,,,,,,,,,,,,,
"","Alavi,Kambiz - EE-2347-1: MATHEMATICAL FOUNDATIONS OF EE",,30,,12,,40%,,3.42,,3.67,,3.08,,4.17,,4.33,
"","Alavi,Kambiz - EE-2347-101: MATHEMATICAL FOUNDATIONS OFEE",,30,,6,,20%,,3.67,,3.67,,3.67,,4.17,,4.17,
"","Alavi,Kambiz - EE-4378-1: INTRO UNMANNED VEHICLES",,21,,8,,38%,,2.25,,2.38,,2.75,,2.88,,2.63,
"","Alavi,Kambiz - EE-6321-1: INTRO TO UNMANNED VEHICLE SYS",,3,,1,,33%,,3,,4,,3,,4,,4,
"","Alexander,Amanda - ART-3323-1: PLAN/ CONSTRUCT ARTCURRICULA",,18,,10,,56%,,4.8,,4.9,,4.7,,4.7,,4.7,
"","Alexandrakis,Georgios - BE-4355-3: SENIOR DESIGN PROJECT II",,23,,9,,39%,,4.56,,4.44,,4.78,,4.78,,4.78,
"","Alexandrakis,Georgios - BE-4382-3: LABORATORY PRINCIPLES",,24,,10,,42%,,4.7,,4.7,,4.6,,4.5,,4.5,
"","Alexandrakis,Georgios - BE-4382-900: LABORATORY PRINCIPLES",,1,,1,,nroll1m0e0n%t,,"Count4",,4,,4,,4,,4,
"","Alexandrakis,Georgios - BE-5382-3: LABORATORY PRINCIPLES",,10,,6,,60%,,4,,4.33,,4.33,,4,,4.33,
"","Alferink,Steven - MATH-1308-512: ELEM STATISTICAL ANALYSIS",,110,,32,,"esponde29%",,"Count4.56",,4.66,,4.59,,4.47,,4.75,
"","Alhaj,Zachrieh - CHEM-1441-121: GENERAL CHEMISTRY I",,21,,11,,52%,,4.55,,4.64,,4.36,,4.27,,4.18,
"","Alharbi,Mohammed - MATH-1426-451: CALCULUS I",,31,,16,,52%,,4.31,,4.5,,4.38,,4.25,,4.13,
"","Alharbi,Mohammed - MATH-1426-452: CALCULUS I",,28,,15,,54%,,4.53,,4.6,,4.53,,4.47,,4.4,
"","Ali,Ahmed - MATH-1301-: CONTEMPORARY MATH",,30,,7,,23%,,4.29,,4.29,,4.57,,4,,4.43,
"","Ali,Ahmed - MATH-1301-6: CONTEMPORARY MATH",,60,,21,,Instru3c5to%r,,clearl4y. 43,,4.62,,4.43,,4.14,,4.38,
"","Ali,Ahmed - MATH-1301-8: CONTEMPORARY MATH",,57,,23,,efined4/0e%x,,laine4d. 48,,4.61,,4.57,,4.3,,4.43,
"","Ali,Ahmed - MATH-1426-450: CALCULUS I",,8,,1,,bjecti1v3e%s,,xpectat3i,,"ns3",,3,,3,,3,
"","Ali,Ahmed - MATH-1426-450: CALCULUS I",,59,,35,,59%,,4.5,,4.59,,4.59,,4.44,,4.59,
"",Instructor and Course,,,,,,,,,,,,,,,,,
"","Ali,Ahmed - MATH-311-: FOUNDATIONS FOR CONTEMP. MATH",,29,,6,,21%,,4.33,,4.33,,4.5,,4,,4.33,
"","Alizadeh,Babak - CE-1252-2: COMPUTER TOOLS - AUTOCAD",,22,,14,,64%,,4.21,,3.93,,3.93,,4.07,,4.29,
"","Alizadeh,Babak - CE-1252-3: COMPUTER TOOLS - AUTOCAD",,19,,11,,58%,,3.73,,3.73,,3.64,,3.91,,4.27,
"","Alizadeh,Babak - CE-4326-2: GIS/HYDROLOGIC & HYDRAULICMDL",,12,,12,,100%,,4.08,,4,,4,,4.25,,4.17,
"","Alizadeh,Babak - CE-5349-2: ADV GIS/HYDO & HYDR MODELING",,4,,1,,25%,,5,,5,,5,,5,,5,
"","Alizadeh,Babak - CE-5349-900: ADV GIS/HYDO & HYDRMODELING",,1,,1,,100%,,2,,5,,4,,5,,5,
"","Alkhazaleh,Osama - MATH-1421-151: PREPARATION FORCALCULUS",,32,,6,,19%,,4,,4.5,,4,,4,,4.67,
"","Alkhazaleh,Osama - MATH-1421-152: PREPARATION FORCALCULUS",,29,,8,,"nrollment28%",,"Count4.25",,4.5,,4.5,,4,,4.13,
"","Allard,Patricia - NURS-3352-500: THE LEGACY OF THE FAMILY",,222,,43,,19%,,4.8,,4.8,,4.85,,4.78,,4.75,
"","Allard,Patricia - NURS-3352-501: THE LEGACY OF THE FAMILY",,201,,46,,23%,,4.48,,4.48,,4.5,,4.43,,4.43,
"","Allard,Patricia - NURS-3352-502: THE LEGACY OF THE FAMILY",,293,,60,,20%,,4.57,,4.54,,4.53,,4.59,,4.46,
"","Allard,Patricia - NURS-4350-14: BSN CAPSTONE",,7,,6,,86%,,5,,5,,5,,5,,5,
"","Allard,Patricia - NURS-4351-1: BSN NURSING LEADERSHIP &MGMT",,46,,15,,33%,,4.53,,4.73,,4.67,,4.73,,4.6,
"","Allard,Patricia - NURS-4351-2: BSN NURSING LEADERSHIP &MGMT",,63,,21,,"Instructorefined3/3e%x",,"clearlylaine4d. 67",,4.67,,4.67,,4.71,,4.86,
"","Allard,Patricia - NURSU-3352-501: THE LEGACY OF THE FAMILY",,8,,2,,"bjectives25%",,"xpectati5",,"ns5",,4.5,,5,,4.5,
"",Instructor and Course,,,,,,,,,,,,,,,,,
"","Allard,Patricia - NURSU-3352-502: THE LEGACY OF THE FAMILY",,6,,1,,17%,,4,,4,,4,,4,,3,
"","Allen,Aida - MATH-1301-10: CONTEMPORARY MATH",,44,,16,,36%,,4.87,,4.87,,4.87,,4.73,,4.87,
"","Allen,Aida - MATH-1301-15: CONTEMPORARY MATH",,44,,14,,32%,,4.79,,4.86,,4.86,,4.57,,4.71,
"","Allen,Aida - MATH-1302-: COLLEGE ALGEBRA",,2,,1,,50%,,5,,5,,5,,5,,5,
"","Allen,Aida - MATH-1302-: COLLEGE ALGEBRA",,55,,19,,35%,,4.21,,4.42,,4.42,,4.16,,4.58,
"","Allen,Aida - MATH-1302-: COLLEGE ALGEBRA",,55,,17,,31%,,4.41,,4.53,,4.47,,4.29,,4.65,
"","Allen,Aida - MATH-1315-: COLLEGE ALGEBRA ECON/BUS ANLYS",,52,,14,,27%,,4.64,,4.79,,4.71,,4.64,,4.79,
"","Allen,Aida - MATH-312-: FOUNDATIONS FOR ALGEBRA",,2,,1,,50%,,5,,5,,5,,5,,5,
"","Allen,Aida - MATH-312-: FOUNDATIONS FOR ALGEBRA",,54,,18,,33%,,4.5,,4.56,,4.56,,4.28,,4.67,
"","Allen,Aida - MATH-312-: FOUNDATIONS FOR ALGEBRA",,53,,14,,26%,,4.5,,4.71,,4.64,,4.43,,4.64,
"","Allen,Austin - ARCH-3553-1: DESIGN STUDIO: ARCHITECTURE I",,14,,7,,"nrollment50%",,"Count4.57",,4.57,,4.43,,4.57,,4.43,
"","Allen,Austin - ARCH-4395-1: SELECTED TOPICS ARCH",,10,,7,,70%,,4.57,,4.57,,4.29,,4.57,,4.43,
"","Allen,Austin - ARCH-5395-1: TOPICS IN ARCHITECTURE",,1,,1,,100%,,4,,4,,4,,5,,4,
"","Allen,Daphne - NURS-3632-721: CLINICAL NURSINGFOUNDATIONS",,7,,6,,86%,,5,,5,,5,,5,,5,
"","Allen,Diane - LARC-5301-1: SITE PLANNING+DEV PROCESS",,5,,5,,100%,,3.5,,3.5,,3.5,,4.75,,4.75,
"","Allen,Jennifer - NURS-5338-472: FAMILY CLINICAL PRACTICE 2",,10,,3,,30%,,3.67,,3.67,,4,,4.33,,4.33,
"","Allen,Sharan - NURS-3632-17: CLINICAL NURSING FOUNDATIONS",,6,,3,,"Instructorefined5/0e%x",,"clearlylaine2d. 67",,3.33,,2.67,,4,,2.67,
"","Allen,Sharan - NURS-3632-22: CLINICAL NURSING FOUNDATIONS",,8,,5,,"bjectives63%",,"xpectati4.2",,"ns4.8",,4.6,,5,,4.4,
"","Allen,Taren - SOCW-5369-2: SEMINAR IN FAMILY THERAPY",,7,,2,,29%,,3.5,,3,,3,,3.5,,3,
"",Instructor and Course,,,,,,,,,,,,,,,,,
"","Allen,Taren - SOCW-5369-6: SEMINAR IN FAMILY THERAPY",,5,,2,,40%,,4.5,,4.5,,4.5,,4.5,,5,
"","Allmond,Karen - EDUC-4331-1: KNOWING & LEARNING MATH &SCIE",,37,,11,,30%,,3.36,,3.27,,3.55,,3.73,,3.27,
"","Allmond,Karen - EDUC-4332-1: CLASSROOM INTERACTIONS",,1,,1,,100%,,3,,3,,3,,4,,3,
"","Allmond,Karen - EDUC-4332-1: CLASSROOM INTERACTIONS",,24,,10,,42%,,3.3,,3.4,,2.7,,4.1,,2.5,
"","Almughrabi,Abeer - CM-3315-1: CONSTRUCTION LAW ANDETHICS",,36,,13,,36%,,4.31,,4.54,,4.38,,4.38,,4.46,
"","Almughrabi,Abeer - CM-3315-101: CONSTRUCTION LAW ANDETHICS",,15,,4,,27%,,4.25,,4.5,,4.25,,4.25,,4.25,
"","Almughrabi,Abeer - CM-3337-1: CONSTR ADMIN & ECONOMICS",,42,,11,,26%,,3.82,,4.09,,4.09,,4.45,,4.36,
"","Almughrabi,Abeer - CM-4337-1: LAND AND SITE DEVELOPMENT",,15,,3,,nrollm2e0n%t,,"Count4",,4,,4,,4.67,,4.67,
"","Almughrabi,Abeer - CM-4337-101: LAND AND SITEDEVELOPMENT",,4,,3,,75%,,4,,4,,3.33,,4,,4.67,
"","Almughrabi,Abeer - CM-4353-1: RESIDENTIAL & COMMERCIALCONST",,18,,4,,22%,,4.25,,4.25,,4.25,,4.5,,4.75,
"","Almughrabi,Abeer - CM-4353-101: RESIDENTIAL & COMMERCIALCONST",,5,,3,,espon6s0e%,,"ate4.33",,4.33,,4.67,,4.67,,4.67,
"","Al-Refai,Shaban - ART-4374-2: PACKAGING & 3D CAD",,12,,7,,58%,,4.71,,4.71,,4.71,,4.71,,5,
"","Altomare,Edwin - FINA-4318-1: PORTFOLIO MGMT & SECANALYSIS",,74,,20,,"Instructorefined2/7e%x",,"clearlylaine4d. 55",,4.4,,4.45,,4.3,,4.45,
"","Altomare,Edwin - FINA-4324-2: INTERNATIONAL CORP FINANCE",,56,,20,,"bjectives36%",,"xpectati4.55",,"ns4.15",,4.25,,4.15,,4.3,
"",Instructor and Course,,,,,,,,,,,,,,,,,
"","Alvarado,Marco - NURS-3632-608: CLINICAL NURSINGFOUNDATIONS",,5,,3,,60%,,5,,5,,5,,5,,5,
"","Alvarado,Marco - NURS-4462-887: POP & COMMUNITY HEALTHNURSING",,8,,3,,38%,,5,,5,,5,,5,,5,
"","Alvarez,Ana - CHEM-1442-103: GENERAL CHEMISTRY II",,4,,1,,25%,,5,,4,,4,,4,,5,
"","Alvarez,Ana - CHEM-1442-103: GENERAL CHEMISTRY II",,17,,6,,35%,,4.67,,4.5,,4.67,,3.83,,4.67,
"","Alvarez,Ana - CHEM-1442-106: GENERAL CHEMISTRY II",,4,,1,,25%,,2,,2,,1,,3,,2,
"","Alvarez,Ana - CHEM-1442-106: GENERAL CHEMISTRY II",,19,,7,,37%,,4.86,,4.57,,4.43,,4.71,,4.71,
"","Alvarez,James - MATH-3301-1: FOUNDATIONS OF GEOMETRY",,23,,18,,78%,,3.78,,4,,3.22,,3.83,,4.33,
"","Amador,Eric - PHYS-1441-14: GENERAL COLLEGE PHYSICS I",,37,,16,,43%,,4.69,,4.69,,4.75,,4.25,,4.56,
"","Amador,Eric - PHYS-1441-901: GENERAL COLLEGE PHYSICS I",,8,,4,,50%,,4.25,,4.25,,4.25,,4,,3.75,
"","Amador,Eric - PHYS-1443-9: GENERAL TECHNICAL PHYSICS I",,37,,12,,32%,,4.5,,4.33,,4.5,,4.17,,4.5,
"","Amador,Eric - PHYS-1443-901: GENERAL TECHNICAL PHYSICS I",,6,,3,,"nrollment50%",,"Count3.67",,3.67,,3.67,,3.33,,4,
"","Aman,Amanda - ARCH-5670-2: ADVANCED DESIGN STUDIO",,12,,5,,42%,,4.8,,4.8,,4.8,,4.8,,4.8,
"","Amaravadi,Giridhar - CSE-4314-1: PROFESSIONAL PRACTICES",,48,,17,,35%,,3.24,,2.88,,2.88,,4.12,,3.47,
"","Amaravadi,Giridhar - CSE-4322-1: SOFTWARE PROJECTMANAGEMENT",,49,,29,,59%,,3.28,,3.07,,3.24,,3.97,,3.45,
"","Amaravadi,Giridhar - CSE-4322-2: SOFTWARE PROJECTMANAGEMENT",,38,,14,,37%,,3.57,,3.46,,3.69,,4.08,,3.36,
"","Amaro-Jimenez,Carla - BEEP-4384-2: LIT METHODS ESL/BILINGCLSRMS",,37,,22,,"Instructorefined5/9e%x",,"clearlylained4 .5",,4.68,,4.5,,4.64,,4.59,
"","Amaro-Jimenez,Carla - BEEP-4384-5: LIT METHODS ESL/BILINGCLSRMS",,41,,23,,"bjectives56%",,"xpectati4.57",,"ns4.61",,4.52,,4.52,,4.43,
"",Instructor and Course,,,,,,,,,,,,,,,,,
